,blind_key,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ
0,image033,1217_HS_009,,,151.4332874752251,149.0,135.0,184.0,475,802.3774907749078,421.0,1303.0,,
1,image114,1217_HS_007,,,152.24370653890082,150.0,136.0,189.0,405,,,,,
2,image021,1217_HS_011,,,152.5345311030301,150.0,136.0,190.0,453,755.6896200814111,399.0,1204.0,,
3,image003,1217_HS_016,,,151.75203422089157,149.0,135.0,190.0,498,846.954260089686,426.0,1279.0,,
4,image096,1217_HS_018,,,152.85802261446855,150.0,135.0,195.0,463,776.0092911218169,393.0,1237.0,,
5,image089,1217_HS_001,,,151.73619716432074,150.0,136.0,185.0,427,704.0270660411404,373.0,1054.0,,
6,image133,1217_HS_006,,,152.28364692161045,150.0,136.0,188.0,400,,,,,
7,image130,1217_HS_008,,,150.8409113813491,149.0,135.0,184.0,317,489.871049018235,280.0,775.0,,
8,image053,1217_HS_017,,,152.7263407329179,150.0,135.0,194.0,462,773.8141119221411,402.0,1270.0,,
9,image075,1217_HS_010,,,151.73264023028085,150.0,135.0,187.0,396,641.7620030975736,358.0,967.0,,
10,image001,1217_HS_013,,,152.30524913497715,150.0,136.0,189.0,425,703.7406735940428,381.5,1077.5,,
11,image032,1217_HS_005,,,151.07061562541992,149.0,135.0,182.0,412,675.057520543051,371.0,1030.0,,
12,image026,1217_HS_002,,,151.2307012773784,149.0,135.0,183.0,431,715.5096021947874,395.0,1179.0,,
13,image018,1217_HS_015,,,150.63497741912457,149.0,135.0,187.0,357,564.7625668449198,318.0,901.0,,
14,image126,1217_HS_012,,,156.3034608262228,153.0,137.0,196.0,416,677.8225637443242,373.0,1199.0,,
15,image017,1217_HS_003,,,153.6653889033526,151.0,136.0,195.0,420,,,,,
16,image118,1217_HS_004,,,151.8179817148448,150.0,136.0,186.0,418,687.3148250971683,347.0,1098.0,,
17,image061,1218_nHS_010,,,152.04460930151504,150.0,136.0,189.0,165,170.93860356507102,150.86666666666667,209.93333333333334,,
18,image103,1218_nHS_006,,,151.79321230012093,150.0,135.0,189.0,383,617.7223858615611,340.0,911.0,,
19,image108,1218_nHS_001,,,150.66717852433823,149.0,135.0,180.0,333,517.1984956122022,294.0,796.0,,
20,image069,1218_nHS_008,,,151.9372493638303,150.0,135.0,186.0,419,689.6488095238095,375.0,1128.0,,
21,image116,1218_nHS_011,,,149.5487735361798,148.0,134.0,178.0,317,486.69668246445497,276.0,783.0,,
22,image060,1218_nHS_009,,,150.81389962585664,149.0,135.0,182.0,370,591.4092634776006,321.0,891.0,,
23,image016,1218_nHS_007,,,149.95096742937048,149.0,135.0,176.0,294,440.9803454437165,256.0,702.0,,
24,image013,1218_nHS_004,,,148.91568284315372,148.0,134.0,174.0,339,531.3264033264034,294.0,797.0,,
