,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ
0,1116_HS_014,,,155.6217333315137,154.0,143.0,547.0,447,740.9935064935065,402.0,1112.0,,
1,1116_HS_013,,,160.07257373689868,157.0,145.0,641.8485000003129,439,691.6857612166366,377.5,1116.0,,
2,1116_HS_002,,,154.82450691598362,153.0,143.0,398.0,413,673.3709589041096,360.0,1032.0,,
3,1116_HS_005,,,157.19747426976954,155.0,144.0,439.0,428,702.693594893414,405.5,1057.0,,
4,1116_HS_020,,,159.95085247791252,156.0,144.0,413.0,517,876.2051965356429,450.0,1448.0,,
5,1116_HS_012,,,156.36178583126176,154.0,143.0,570.0,447,739.8373065662903,395.0,1170.0,,
6,1116_HS_015,,,159.59231021986696,156.0,144.0,518.0,656,1154.181431608788,597.0,1748.0,,
7,1116_HS_004,,,162.87636629518275,157.0,145.0,768.8485000003129,510,,,,,
8,1116_HS_003,,,155.66239859076862,154.0,144.0,403.0,471,782.1755526657997,433.0,1157.0,,
9,1116_HS_009,,,157.71030605432009,155.0,144.0,346.0,196,225.3706720864994,177.0,285.85714285714283,,
10,1116_HS_007,,,162.39783676053145,159.0,146.0,466.0,515,869.6297142857143,436.0,1325.0,,
11,1116_HS_016,,,161.00925752905806,158.0,144.0,488.8485000003129,188,209.81865752043308,168.02777777777777,270.6041666666667,,
12,1116_HS_011,,,167.05473316564766,166.0,149.0,535.0,588,1011.5173410404624,539.0,1520.0,,
13,1116_HS_018,,,158.24810513806773,155.0,144.0,324.0,487,819.4016093635698,464.0,1190.0,,
14,1116_HS_006,,,158.70068031317186,156.0,144.0,702.0,487,,,,,
15,1116_HS_001,,,156.0013418876814,154.0,143.0,356.0,218,266.60759693558725,196.1764705882353,368.29411764705884,,
16,1116_HS_008,,,154.7774245834453,153.0,143.0,313.0,169,173.34721372546642,156.2,202.0,,
17,1116_HS_019,,,160.32217219413465,156.0,144.0,447.8485000003129,537,917.4592790387183,504.0,1469.0,,
18,1116_HS_010,,,160.47111910230785,157.0,146.0,600.0,495,835.9029605263158,439.0,1469.0,,
19,1116_HS_017,,,153.9969031342381,152.0,142.0,410.8485000003129,294,384.2735387194335,258.0,573.25,,
20,1116_nHS_011,,,150.39370244473932,149.0,139.0,486.0,421,690.6603758783774,371.0,1005.5,,
21,1116_nHS_009,,,152.1495817656544,150.0,139.0,303.0,495,840.6204492641364,434.0,1289.0,,
22,1116_nHS_007,,,152.22424929874362,150.0,139.0,274.0,386,626.009942004971,356.0,906.0,,
23,1116_nHS_010,,,151.35606266586603,149.0,139.0,285.0,508,866.0982824427481,456.0,1310.0,,
24,1116_nHS_006,,,160.34072819386589,159.0,140.0,457.0,390,622.6505747126437,338.0,981.0,,
25,1116_nHS_001,,,151.61128508381483,150.0,138.0,385.0,333,516.1007025761124,294.0,768.0,,
26,1116_nHS_008,,,149.94647933603198,148.0,138.0,364.0,205,256.50111922033255,184.85714285714286,366.6904761904762,,
27,1116_nHS_002,,,149.19071969060735,148.0,138.0,420.0,412,674.1046875,393.0,1078.0,,
28,1116_nHS_005,,,150.35460425204917,148.0,138.0,338.8485000003129,401,654.3227513227513,346.0,998.0,,
29,1116_nHS_014,,,152.59419222193296,151.0,140.0,373.0,367,583.3793111136592,320.0,864.0,,
30,1116_nHS_013,,,152.31426626326927,151.0,140.0,362.0,534,920.0,445.0,1475.0,,
31,1116_nHS_004,,,153.47575390310064,151.0,140.0,274.0,418,684.6358253145818,361.0,1002.0,,
32,1116_nHS_003,,,150.53221947645122,148.0,139.0,385.0,348,550.8408951114113,317.5,842.5,,
33,1116_nHS_012,,,150.6362355864519,148.0,138.0,371.0,441,734.0795990566038,402.0,1136.0,,
