,blind_key,base_name,max_slice,max_slice_final,gfp_mean,gfp_median,gfp_loQ,gfp_hiQ,otsu_threshold,mean_blob,min_blob,max_blob,bf_loQ,bf_hiQ,worm_num,moved,remove_slices
0,image003,1241_HS_005,7,7,188.74262394811544,185.0,163.0,1044.0,752,1321.4499194847021,682.0,2345.0,108.0,428.0,1,0,-1
1,image119,1241_HS_002,11,11,185.1906451558721,183.0,162.0,613.0,1075,1970.9302103250477,1052.0,2781.0,108.0,423.0,1,0,-1
2,image019,1241_HS_003,12,12,187.1678514365258,183.0,162.0,1266.5455000009388,909,1633.9219696969697,785.0,2878.0,107.0,428.9696999997832,1,0,-1
3,image108,1241_HS_004,12,12,185.92797845001343,183.0,162.0,872.0,999,1816.2182468694098,913.0,2789.0,107.0,440.0,1,0,-1
4,image009,1241_HS_011,0,10,188.75562291092785,186.0,164.0,780.0,571,964.8161065313888,514.0,1791.0,106.0,463.9696999997832,1,0,-1
5,image026,1241_HS_007,7,7,187.25188042738847,184.0,162.0,852.8485000003129,909,1637.877286135693,803.0,2712.0,108.0,483.0,1,0,-1
6,image140,1241_HS_009,6,6,186.72283707546694,183.0,162.0,941.0,564,1041.6005730247944,518.5,1599.5,109.0,508.0,1,0,-1
7,image094,1241_HS_010,12,12,186.72384093237704,183.0,162.0,1099.848500000313,896,1612.4082588335461,813.0,2721.0,109.0,410.9696999997832,1,0,-1
8,image147,1241_HS_008,12,12,186.6356666029797,184.0,163.0,992.0,765,1345.9059405940593,676.0,2048.0,114.0,387.0,1,0,-1
9,image015,1241_HS_001,5,10,188.03293070579144,183.0,162.0,1605.848500000313,956,1643.756127380044,883.0,2762.0,108.0,453.0,1,0,-1
10,image080,1241_HS_006,12,12,186.28750383171527,183.0,163.0,1014.8485000003129,709,1235.893817204301,643.0,2156.0,106.0,444.0,1,0,-1
11,image034,1182_nHS_015,7,7,185.54940865610723,182.0,161.0,577.0,933,1683.0752306600425,859.0,2851.0,108.0,524.9696999997832,1,0,-1
12,image111,1182_nHS_012,11,11,185.82433107699543,183.0,162.0,789.8485000003129,1079,1977.9126984126983,1034.0,3861.0,105.0,459.0,1,0,-1
13,image043,1182_nHS_003,14,14,187.30135574484345,184.0,162.0,772.6970000006258,819,1454.939772110689,727.0,2710.0,107.0,477.0,1,0,-1
14,image010,1182_nHS_004,8,8,185.44035016628595,183.0,161.0,1060.0,902,1543.65152254856,808.5,2539.0,111.0,444.9696999997832,1,0,-1
15,image185,1182_nHS_013,0,10,188.50873053698604,184.0,162.0,530.0,692,1199.5661707126076,638.0,1746.0,109.0,437.0,1,0,-1
16,image006,1182_nHS_014,6,6,184.8461965239519,182.0,161.0,671.6970000006258,817,1454.0572916666667,774.0,2701.0,105.0,591.0,1,0,-1
17,image171,1182_nHS_005,9,9,184.52726370389345,181.0,161.0,871.0,1008,1838.6685288640597,910.0,2975.0,111.0,426.0,1,0,-1
18,image103,1182_nHS_002,5,10,186.84983744079213,184.0,162.0,471.0,1136,2089.575197889182,1089.0,3533.0,107.0,482.0,1,0,-1
19,image044,1182_nHS_001,7,7,183.54756050960762,181.0,161.0,662.0,880,1580.2826086956522,813.0,2750.0,108.0,498.0,1,0,-1
20,image124,1182_nHS_006,11,11,185.49982416101182,183.0,162.0,462.8485000003129,925,1673.2909722222223,906.0,3006.0,108.0,438.0,1,0,-1
21,image074,1182_nHS_008,11,11,184.078191923794,182.0,161.0,797.0,792,1381.6924212729205,746.5,2111.0,107.0,447.0,1,0,-1
22,image126,1182_nHS_017,11,11,186.0770460834621,183.0,162.0,987.8485000003129,1079,1977.6183381088824,1011.0,3881.0,107.0,456.9696999997832,1,0,-1
23,image029,1182_nHS_010,5,10,191.66461284978837,189.0,165.0,932.8485000003129,746,1303.8588850174217,655.0,2286.0,107.0,504.0,1,0,-1
24,image158,1182_nHS_009,10,10,184.53848800515655,182.0,161.0,427.0,1032,1883.2114695340501,1009.0,2920.0,108.0,524.0,1,0,-1
25,image098,1182_nHS_007,6,6,186.32521683309258,183.0,162.0,817.8485000003129,1027,1878.1822752985543,958.0,3533.0,106.0,534.0,1,0,-1
26,image102,1182_nHS_011,12,12,185.50927721252688,183.0,161.0,420.0,994,1815.8315881326353,941.0,3065.0,107.0,503.0,1,0,-1
27,image057,1182_nHS_016,7,7,184.34690696595337,182.0,161.0,496.0,983,1792.2128623188405,932.0,2762.0,108.0,506.9696999997832,1,0,-1
28,image188,1182_HS_011,12,12,188.48373226913128,184.0,163.0,761.8485000003129,1286,2393.753679318358,1246.0,3700.0,106.0,466.0,1,0,-1
29,image114,1182_HS_016,12,12,188.38946105087678,184.0,163.0,1336.848500000313,915,1475.2523575132536,843.0,2364.5,108.0,426.0,1,0,-1
30,image174,1182_HS_018,11,11,187.50648530930866,184.0,163.0,1123.848500000313,1060,1939.8253253253254,997.0,4135.0,108.0,424.0,1,0,-1
31,image091,1182_HS_009,13,13,192.26552658265587,185.0,163.0,1670.0,1108,2039.0744027303754,976.0,3363.0,105.0,479.9696999997832,1,0,-1
32,image084,1182_HS_007,10,10,189.87143519257256,186.0,165.0,883.0,1023,1861.491452991453,958.0,2877.0,108.0,442.0,1,0,-1
33,image179,1182_HS_019,6,6,187.87540364233405,184.0,162.0,791.0,1162,2139.9857239972807,1089.0,3872.0,107.0,498.0,1,0,-1
34,image095,1182_HS_017,12,12,189.28298476971915,184.0,163.0,1619.0,1165,2157.524502840909,1066.0,4007.0,109.0,409.0,1,0,-1
35,image180,1182_HS_010,13,13,184.924805737285,181.0,161.0,1057.0,610,1081.311356170812,570.0,1886.0,107.0,422.0,1,0,-1
36,image012,1182_HS_022,11,11,187.31882337997178,183.0,162.0,1093.848500000313,1440,2897.3353658536585,1347.0,5105.0,108.0,422.0,1,0,-1
37,image007,1182_HS_001,6,6,190.5616418007592,187.0,166.0,1295.848500000313,911,1635.8791884414386,820.0,3209.0,110.0,474.0,1,0,-1
38,image065,1182_HS_006,12,12,187.51370310610386,183.0,162.0,1266.0,1085,1987.6323132313232,987.0,3308.0,110.0,404.0,1,0,-1
39,image178,1182_HS_008,12,12,187.60560181024925,184.0,163.0,1171.6970000006258,847,1512.7793103448275,766.0,2390.0,106.0,435.0,1,0,-1
40,image088,1182_HS_005,12,12,189.7740406014848,185.0,163.0,1485.848500000313,921,1658.8839018551766,821.0,2739.0,108.03030000000001,428.0,1,0,-1
41,image017,1182_HS_002,10,10,190.4675928744793,187.0,165.0,1188.848500000313,918,1649.5842003853566,819.0,3295.0,110.0,429.0,1,0,-1
42,image005,1182_HS_013,12,12,187.48201770777345,183.0,162.0,1353.848500000313,963,1750.7860294117647,904.0,3069.0,108.0,426.0,1,0,-1
43,image133,1182_HS_014,6,6,187.8206269106087,184.0,163.0,1073.0,673,1177.9942564102564,602.0,2249.0,105.0,430.0,1,0,-1
44,image112,1182_HS_021,3,10,196.2001021440809,190.0,165.0,1664.0,1225,2156.7034537838413,1134.5,3344.0,103.0,495.0,1,0,-1
45,image151,1182_HS_003,12,12,190.34307315111866,186.0,164.0,1480.0,907,1627.4531590413944,858.0,2755.0,108.0,454.0,1,0,-1
46,image117,1182_HS_004,11,11,189.04079648238042,185.0,164.0,1482.0,1035,1886.2215546376267,942.0,2988.0,109.0,415.0,1,0,-1
47,image066,1182_HS_020,11,11,187.8356863389378,183.0,162.0,1022.0,1419,2661.2340425531916,1353.0,5565.0,108.0,459.0,1,0,-1
48,image141,1182_HS_015,5,10,194.7742581694269,190.0,168.0,1673.0,1191,2193.1271758436947,1088.0,4285.0,109.0,404.0,1,0,-1
49,image073,1182_HS_012,4,10,185.6978269975309,183.0,162.0,939.0,1039,1899.5817490494296,959.0,2647.0,111.0,379.0,1,0,-1
50,image032,1116_HS_013,9,9,192.97762488242407,188.0,166.0,923.0,726,1261.2417371252882,630.0,1993.0,107.0,498.0,1,0,-1
51,image194,1116_HS_014,15,15,191.93132700173004,187.0,165.0,887.8485000003129,1253,2317.725413060582,1165.0,3273.0,106.0,414.0,1,0,-1
52,image037,1116_HS_021,10,10,189.86326760279493,185.0,164.0,1428.0,1204,2223.0889792231255,1135.0,3609.0,108.0,414.0,1,0,-1
53,image129,1116_HS_005,12,12,188.7482728412221,186.0,164.0,1021.0,876,1566.9447282861124,836.0,2967.0,108.0,402.0,1,0,-1
54,image067,1116_HS_002,12,12,190.5443657513941,186.0,165.0,1021.0,1155,2129.345288753799,1093.0,3468.0,108.0,412.0,1,0,-1
55,image055,1116_HS_020,10,10,193.41393416378327,189.0,166.0,1108.0,1254,2324.0340095465394,1128.0,3777.0,109.0,410.9696999997832,1,0,-1
56,image183,1116_HS_015,14,14,192.83458826382358,189.0,166.0,1268.848500000313,871,1554.501210653753,784.0,2706.0,106.0,424.0,1,0,-1
57,image096,1116_HS_012,10,10,189.52048865392368,186.0,165.0,1157.848500000313,1144,2103.4667705088264,1095.0,4020.0,109.0,409.9696999997832,1,0,-1
58,image051,1116_HS_003,12,12,189.54540005206934,186.0,164.0,1175.6970000006258,916,1649.2740711146623,836.0,3030.0,107.0,402.0,1,0,-1
59,image153,1116_HS_004,9,9,190.48888776328607,186.0,165.0,1453.0,1249,2312.1354616048316,1179.0,4384.0,109.0,414.9696999997832,1,0,-1
60,image115,1116_HS_007,6,6,193.6162660512127,187.0,165.0,827.0,1000,1815.2204081632653,952.0,2596.0,104.0,522.0,1,0,-1
61,image027,1116_HS_009,10,10,189.55814312978703,186.0,165.0,997.0,1284,2383.428769979152,1227.0,3783.0,111.03030000000001,413.9696999997832,1,0,-1
62,image053,1116_HS_018,9,9,189.56994245078607,186.0,164.0,1099.0,940,1694.457627118644,886.0,3047.0,108.0,451.0,1,0,-1
63,image116,1116_HS_011,14,14,190.589004184443,187.0,165.0,897.8485000003129,971,1757.9947735191638,840.0,3008.0,107.0,439.0,1,0,-1
64,image022,1116_HS_016,7,7,189.4485791684863,186.0,164.0,966.8485000003129,1087,1992.2462427745666,979.0,3262.0,110.0,442.0,1,0,-1
65,image190,1116_HS_008,14,14,189.69778815548577,186.0,165.0,1101.0,856,1525.979293544458,776.0,2701.0,107.0,416.0,1,0,-1
66,image165,1116_HS_001,13,13,188.74882292856424,186.0,165.0,559.0,1172,2163.157894736842,1134.0,3488.0,109.0,392.0,1,0,-1
67,image195,1116_HS_006,7,7,189.97440912851047,185.0,164.0,1231.0,1005,1849.5559518502007,921.0,3303.0,108.0,429.0,1,0,-1
68,image168,1116_HS_017,13,13,190.4616718246103,187.0,165.0,996.0,892,1597.0730174081239,808.0,2554.0,107.0,445.0,1,0,-1
69,image021,1116_HS_010,12,12,191.6137200601317,186.0,164.0,1626.0,1376,2567.5310129406516,1266.0,4230.0,107.0,441.0,1,0,-1
70,image041,1116_HS_019,5,10,190.38277628241735,186.0,164.0,766.0,954,1725.311737804878,898.0,2551.0,105.0,445.9696999997832,1,0,-1
71,image138,1116_HS_022,11,11,189.28747758709017,185.0,164.0,1154.848500000313,1258,2332.2341920374706,1199.0,3634.0,107.0,429.0,1,0,-1
72,image050,1218_HS_025,8,8,189.29405921417293,186.0,165.0,622.8485000003129,824,1466.5101351351352,775.0,2453.0,113.0,390.0,1,0,-1
73,image002,1218_HS_022,6,6,191.93394044149758,189.0,166.0,434.0,656,1124.0289532293987,604.0,1869.0,108.0,499.0,1,0,-1
74,image121,1218_HS_017,14,14,195.05725789858238,191.0,167.0,629.8485000003129,746,1310.0378988698076,699.5,1983.5,103.0,453.9696999997832,1,0,-1
75,image087,1218_HS_010,11,11,192.4128347764378,189.0,166.0,1074.848500000313,727,1267.5196620084498,666.0,2168.0,108.0,438.0,1,0,-1
76,image118,1218_HS_019,10,10,190.77513159055025,187.0,165.0,1078.848500000313,734,1283.1552005216824,645.0,2183.0,107.0,444.0,1,0,-1
77,image033,1218_HS_008,7,7,192.7511999042596,188.0,166.0,1533.0,1161,2141.4951531601396,1050.0,3834.0,107.0,447.0,1,0,-1
78,image052,1218_HS_001,11,11,192.03071565943296,190.0,167.0,720.0,495,805.087915601023,432.0,1270.0,85.0,135.0,1,0,-1
79,image064,1218_HS_006,7,7,192.32531866223798,188.0,166.0,988.0,764,1340.2659204940178,714.0,2234.0,106.0,504.0,1,0,-1
80,image184,1218_HS_018,0,10,190.7298601371439,188.0,166.0,426.0,707,1232.1012006861063,685.0,1910.0,108.0,488.0,1,0,-1
81,image035,1218_HS_011,3,10,190.87469451256382,188.0,166.0,533.0,235,294.74729576899443,204.83333333333334,467.6666666666667,107.0,463.0,1,0,-1
82,image192,1218_HS_016,8,8,189.37580702222184,187.0,165.0,813.0,524,860.1446554735567,467.0,1409.0,109.0,390.9696999997832,1,0,-1
83,image036,1218_HS_023,5,10,190.91721999084587,188.0,165.0,591.0,971,1749.5797691785472,907.0,2475.0,110.0,423.0,1,0,-1
84,image145,1218_HS_024,3,10,191.36264061870128,187.0,165.0,653.0,438,747.4216573816155,373.0,1305.0,108.0,430.0,1,0,-1
85,image011,1218_HS_007,11,11,190.47839332504702,188.0,166.0,845.0,657,1126.6993769470405,571.0,1909.0,109.0,418.0,1,0,-1
86,image004,1218_HS_009,8,8,190.0036802837779,187.0,166.0,647.0,1044,1904.4513651877132,982.0,2845.0,110.0,501.0,1,0,-1
87,image106,1218_HS_003,9,9,187.4408026236227,186.0,165.0,547.0,610,1035.7911764705882,528.0,1898.0,111.0,420.0,1,0,-1
88,image078,1218_HS_004,9,9,191.4699997690473,188.0,166.0,777.0,944,1702.0879120879122,855.0,2892.0,108.0,484.0,1,0,-1
89,image063,1218_HS_015,7,7,189.70012497690473,187.0,166.0,714.0,707,1227.256103896104,624.0,1964.0,114.0,421.0,1,0,-1
90,image020,1218_HS_012,13,13,189.99675511455254,187.0,165.0,1036.0,809,1431.960649087221,725.0,2324.0,110.0,377.0,1,0,-1
91,image169,1218_HS_020,12,12,193.4107953066212,188.0,166.0,913.8485000003129,974,1759.6756152125279,873.0,2987.0,107.0,717.0,1,0,-1
92,image040,1218_HS_005,10,10,190.98653493264578,188.0,166.0,1010.0,642,1096.9034346846847,548.0,2109.0,110.0,423.0,1,0,-1
93,image092,1218_HS_002,7,7,188.35499398473192,186.0,166.0,777.0,643,1017.5382090804777,584.0,1595.5,112.0,434.0,1,0,-1
94,image056,1218_HS_021,6,6,189.02890687987102,186.0,164.0,919.0,770,1457.0789602746445,706.0,2617.0,113.0,399.0,1,0,-1
95,image170,1218_HS_026,15,15,190.7392696225813,187.0,166.0,641.0,879,1572.5243902439024,828.0,2469.0,106.0,421.0,1,0,-1
96,image150,1218_HS_013,13,13,192.17488919519283,189.0,167.0,765.0,780,1372.1964573268922,662.0,2368.0,108.0,401.0,1,0,-1
97,image107,1218_HS_014,7,7,190.27999235756516,187.0,165.0,803.0,959,1731.4561855670104,838.0,3138.0,109.0,474.0,1,0,-1
98,image137,1219_HS_004,7,7,188.02606563675758,185.0,164.0,938.8485000003129,1698,3220.890894819466,1696.0,4893.0,112.0,377.0,1,0,-1
99,image085,1219_HS_003,6,6,190.13621459075182,186.0,164.0,1027.0,1147,2340.798484848485,1087.0,3362.0,109.0,438.0,1,0,-1
100,image130,1219_HS_012,2,10,196.68245447082438,186.0,164.0,1640.0,1508,2830.8141809290955,1435.0,4527.0,104.0,416.0,1,0,-1
101,image046,1219_HS_015,14,14,187.98718606179455,184.0,163.0,1143.0,734,1288.046163252828,627.0,2404.0,108.0,422.0,1,0,-1
102,image144,1219_HS_002,5,10,188.0018095669007,185.0,164.0,821.0,831,1486.8451681793913,719.0,2435.0,110.0,528.0,1,0,-1
103,image097,1219_HS_005,7,7,190.5572132827197,186.0,164.0,1460.0,1386,2588.771144278607,1235.0,4355.0,110.0,435.0,1,0,-1
104,image176,1219_HS_014,0,10,212.58447541193564,187.0,163.0,1407.0,336,394.15508559035754,283.8,575.4,103.0,471.0,1,0,-1
105,image048,1219_HS_013,5,10,192.13852018106692,185.0,163.0,1486.848500000313,909,1754.468687541639,804.0,2879.0,105.0,402.0,1,0,-1
106,image061,1219_HS_010,7,7,200.24315881357498,198.0,172.0,990.0,931,1667.6904761904761,869.0,3303.0,110.0,399.0,1,0,-1
107,image148,1219_HS_006,11,11,187.9489224481826,184.0,163.0,1006.8485000003129,824,1464.8439201451906,791.0,2674.0,108.0,411.9696999997832,1,0,-1
108,image139,1219_HS_001,6,6,188.35508505358104,185.0,165.0,1227.0,1015,1709.504981060606,943.0,2784.0,111.0,450.0,1,0,-1
109,image152,1219_HS_008,3,10,198.84751794082572,186.0,163.0,839.0,279,318.8269040287813,227.6,451.8,103.0,385.0,1,0,-1
110,image039,1219_HS_011,7,7,186.52135026496575,184.0,164.0,816.0,735,1284.3532579429186,682.0,1886.0,116.0,541.0,1,0,-1
111,image125,1219_HS_009,10,10,188.7175773901505,185.0,164.0,1333.0,918,1656.8054266333452,827.0,2910.0,110.0,373.0,1,0,-1
112,image143,1219_HS_007,10,10,188.36090191228837,185.0,163.0,910.0,931,1677.3,765.0,2873.0,105.0,432.0,1,0,-1
113,image120,1116_nHS_015,8,8,187.8797809833546,185.0,164.0,440.0,778,1373.439406430338,723.0,2454.0,111.0,395.9696999997832,1,0,-1
114,image068,1116_nHS_012,7,7,188.6038526059863,186.0,165.0,572.0,1035,1886.3360964581764,936.0,3426.0,109.0,445.0,1,0,-1
115,image075,1116_nHS_027,12,12,186.65098427841977,184.0,163.0,877.0,1050,1924.1519810762861,996.0,4258.0,107.0,408.0,1,0,-1
116,image045,1116_nHS_020,7,7,189.23701678396264,186.0,165.0,756.0,1320,2458.982602644398,1280.0,4426.0,106.0,481.0,1,0,-1
117,image101,1116_nHS_029,7,7,188.1279724662389,184.0,163.0,793.8485000003129,1882,3585.176571920758,1833.0,6441.0,108.0,525.0,1,0,-1
118,image060,1116_nHS_003,10,10,188.2787076831665,185.0,164.0,468.0,1032,1882.5860128617364,957.0,2942.0,108.0,468.0,1,0,-1
119,image076,1116_nHS_004,6,6,187.54587298021366,185.0,163.0,709.8485000003129,629,1074.179236043095,607.0,1799.0,111.0,440.0,1,0,-1
120,image058,1116_nHS_028,0,10,187.6864950933049,185.0,164.0,554.0,648,1114.4394865525671,602.0,2112.0,110.0,436.0,1,0,-1
121,image049,1116_nHS_021,8,8,200.0220216024758,197.0,170.0,530.0,1034,1873.9689288634506,976.0,3717.0,110.0,474.0,1,0,-1
