,label,area,intensity_mean,intensity_max,intensity_min,base_name
0,25,1795.0,2075.315877437326,3652.0,792.0,1219_nHS_007
0,1,1230.0,2520.2626016260165,3891.0,1380.0,1219_nHS_009
1,2,1445.0,2756.659515570934,3874.0,1374.0,1219_nHS_009
0,1,787.0,2671.4879288437105,3792.0,1599.0,1219_nHS_018
1,2,964.0,3333.1327800829877,4929.0,1612.0,1219_nHS_018
0,1,1470.0,3234.8761904761905,5395.0,1653.0,1219_nHS_016
0,1,855.0,1521.498245614035,1970.0,1089.0,1219_nHS_011
1,2,994.0,2663.131790744467,4093.0,1116.0,1219_nHS_011
0,1,848.0,3951.5990566037735,5679.0,2063.0,1219_nHS_008
0,1,955.0,2439.9832460732982,3484.0,1249.0,1219_nHS_006
0,1,933.0,3003.487674169346,4275.0,1581.0,1219_nHS_001
0,1,1015.0,2329.4206896551723,3480.0,1091.0,1219_nHS_010
1,2,786.0,1564.9974554707378,2197.0,999.0,1219_nHS_010
0,1,926.0,4859.221382289416,6788.0,2515.0,1219_nHS_017
0,1,1586.0,2793.1046658259775,4802.0,1361.0,1219_nHS_019
0,1,1092.0,4748.919413919414,7183.0,2061.0,1219_nHS_021
1,2,590.0,2418.0372881355934,3027.0,1974.0,1219_nHS_021
0,1,1457.0,2938.2367879203844,5010.0,1450.0,1219_nHS_014
0,5,830.0,1860.7590361445782,2795.0,980.0,1219_nHS_013
0,1,715.0,3485.7272727272725,5088.0,1813.0,1219_nHS_002
0,2,937.0,3061.8356456776946,4700.0,1385.0,1219_nHS_005
0,1,1274.0,2663.581632653061,3915.0,1279.0,1219_nHS_012
1,2,735.0,1836.6068027210883,2460.0,1223.0,1219_nHS_012
0,1,657.0,1986.2465753424658,2523.0,1375.0,1219_nHS_015
1,2,1227.0,3037.959250203749,4953.0,1432.0,1219_nHS_015
0,2,1068.0,4650.315543071161,6708.0,2092.0,1219_nHS_020
0,1,1237.0,2922.981406628941,4810.0,1497.0,1219_nHS_004
0,1,1080.0,3049.926851851852,4985.0,1481.0,1219_nHS_003
0,1,1464.0,1699.4419398907103,2811.0,885.0,1241_HS_023
0,1,2120.0,2025.4504716981132,3036.0,1019.0,1241_HS_018
0,1,2589.0,2262.480494399382,4058.0,1103.0,1241_HS_011
0,1,1525.0,1751.0373770491803,2669.0,857.0,1241_HS_016
0,62,2369.0,1424.5369354157872,2645.0,489.0,1241_HS_007
0,1,1450.0,1532.6020689655172,2356.0,809.0,1241_HS_009
0,1,1952.0,1798.1808401639344,3446.0,922.0,1241_HS_017
0,7,3374.0,1475.2359217545938,2732.0,744.0,1241_HS_010
0,1,1631.0,1740.427345187002,2539.0,913.0,1241_HS_019
0,1,1458.0,2181.4691358024693,3316.0,1065.0,1241_HS_022
0,1,1724.0,1923.905452436195,2906.0,1010.0,1241_HS_008
0,1,1795.0,1943.8674094707521,2955.0,1007.0,1241_HS_001
0,1,1371.0,1279.3245805981035,2145.0,645.0,1241_HS_006
1,2,1181.0,1216.1845893310754,1892.0,666.0,1241_HS_006
0,3,1740.0,1075.1229885057471,1680.0,594.0,1241_HS_005
0,1,1665.0,1618.0936936936937,2656.0,804.0,1241_HS_002
0,1,1564.0,1946.8388746803068,3609.0,991.0,1241_HS_013
0,1,1533.0,1371.7227658186562,2114.0,668.0,1241_HS_014
0,1,1752.0,1886.9183789954338,2798.0,994.0,1241_HS_021
0,1,1643.0,2336.315885575167,4202.0,1024.0,1241_HS_003
1,2,1141.0,1858.0210341805434,2773.0,1089.0,1241_HS_003
0,1,3276.0,1594.35347985348,2848.0,797.0,1241_HS_004
0,1,1694.0,1715.267414403778,2898.0,832.0,1241_HS_020
0,1,972.0,1553.966049382716,2376.0,729.0,1241_HS_015
1,2,1193.0,1278.8759430008383,1862.0,731.0,1241_HS_015
0,1,1759.0,1749.4735645252986,2760.0,887.0,1241_HS_012
0,2,3462.0,2394.5517042172155,4884.0,1164.0,1182_HS_025
0,1,1699.0,3380.4832254267217,5421.0,1699.0,1182_HS_022
0,1,1802.0,4119.7552719200885,7128.0,2063.0,1182_HS_017
0,1,2352.0,3004.3996598639455,4586.0,1521.0,1182_HS_010
0,1,1819.0,3081.168774051677,5375.0,1554.0,1182_HS_019
0,1,1136.0,3896.6954225352115,5688.0,1947.0,1182_HS_008
0,1,1709.0,2730.933294324166,4011.0,1431.0,1182_HS_001
